video_id,duration_seconds,total_comments,unique_correlated,pct_correlated,engagement,top_topic_id,top_topic_count,top_topic_avg_score,top_topic_pct
-AKD2Lv7XqI,415.428209,104,34,0.3269230769230769,15.020645841601961,T1,33,82.72727272727273,0.3173076923076923
0Mu2L9z1MH8,411.805896,65,8,0.12307692307692308,9.470481209428822,T3,7,80.0,0.1076923076923077
1WYDsiYJGoQ,1314.342313,121,38,0.3140495867768595,5.523675170609835,T4,24,80.0,0.19834710743801653
2_y_3_3V-so,204.93932,623,137,0.21990369181380418,182.39545246856483,T2,98,80.76530612244898,0.15730337078651685
3xe-g35SmEY,632.023946,388,0,0.0,36.83404742389302,None,0,0.0,0.0
408qlS2z6ys,828.070023,113,41,0.36283185840707965,8.187713371674608,T3,28,81.07142857142857,0.24778761061946902
4dmrahCJonM,1354.861134,227,59,0.2599118942731278,10.052690757900212,T6,46,80.32608695652173,0.2026431718061674
4ObzEft2R_g,396.991565,666,170,0.2552552552552553,100.65705048418347,T6,101,80.4950495049505,0.15165165165165165
8YPX1gZGyJg,306.271202,50,22,0.44,9.795240232870475,T1,17,80.88235294117646,0.34
AmlmkTPqZrk,144.079819,26,12,0.46153846153846156,10.827331758377627,T1,10,85.0,0.38461538461538464
AOf-i2vLd2o,1236.207166,139,73,0.5251798561151079,6.746442044164627,T2,57,80.70175438596492,0.41007194244604317
AoJDIy52y7g,648.301134,24,4,0.16666666666666666,2.2211900064330288,T2,3,80.0,0.125
aqfyRUVSq9I,926.47619,53,15,0.2830188679245283,3.4323601991325865,T1,13,80.0,0.24528301886792453
aXTtu4n37WI,1283.343673,14,3,0.21428571428571427,0.654540180991721,T2,3,80.0,0.21428571428571427
btOIDQeMrMg,302.18449,268,0,0.0,53.21252589767265,None,0,0.0,0.0
BYvTEfNAi38,809.12254,81,11,0.13580246913580246,6.0065067523641105,T2,11,80.9090909090909,0.13580246913580246
dmPIydL0lyM,775.291066,177,39,0.22033898305084745,13.698081231339767,T6,27,80.74074074074075,0.15254237288135594
dQeNONerxEU,1474.908299,144,34,0.2361111111111111,5.85799131095675,T1,27,81.29629629629629,0.1875
EdUAecpYVWQ,946.631111,169,16,0.09467455621301775,10.711669923132286,T2,15,80.66666666666667,0.08875739644970414
ewYBc1jBDGM,1029.22449,52,16,0.3076923076923077,3.0314086288405355,T5,15,80.0,0.28846153846153844
E_RDCFOlJx4,1043.690522,219,39,0.1780821917808219,12.589938993428932,T1,33,80.9090909090909,0.1506849315068493
FXSpHy8LvmY,894.479093,151,36,0.23841059602649006,10.128800182029519,T1,31,81.61290322580645,0.2052980132450331
